token,pred,true
MLN,7,0
Jul,7,0
Sebastian,1,1
Lindholm,2,2
Finland,5,5
Ford,3,7
Escort,8,8
Chris,1,1
Walker,2,2
England,5,5
Amr,1,1
Shabana,2,2
Egypt,5,5
OB,0,3
Lotte,3,3
Meluawati,1,1
Indonesia,5,5
Chan,1,1
Chia,2,2
Fong,2,2
Malaysia,5,5
party,3,0
party,3,0
Socialist,3,0
Zeri,4,3
i,4,4
Popullit,0,4
.,3,0
Cozma,0,1
Lupu,1,1
Reuters,3,3
Tuesday,7,0
Manila,5,5
oil,7,0
MOSCOW,5,5
auction,7,0
roubles,7,0
roubles,7,0
the,7,0
FFK,0,3
a,7,0
GENOA,5,5
Italy,5,5
Huddersfield,5,3
Steptoe,1,3
&,0,4
Johnson,1,4
Clarksburg,5,5
West,0,3
Coast,0,4
Somerset,5,3
Oxford,3,3
Norwich,5,3
Terry,1,1
Price,2,2
Australia,5,5
Paul,1,1
Eales,2,2
Wayne,0,1
Tortelli,1,1
Adrian,1,1
Warner,2,2
Bristol,5,5
Gloucestershire,5,3
J.,1,1
Russell,2,2
Northamptonshire,5,3
K.,1,1
Curran,2,2
China,5,5
Britain,5,5
France,5,5
Russia,5,5
United,5,5
States,6,6
Kurt,1,1
Betschart,2,2
Bruno,1,1
Risi,2,2
Switzerland,5,5
AMSTERDAM,5,5
Sunday,0,1
Bada,0,2
Nigeria,5,5
ADDIS,0,5
ABABA,0,6
Bombay,5,5
newsroom,4,0
Newcrest,3,3
Telfer,5,5
Boddington,5,5
Danielle,1,1
Murray,2,2
Sandusky,5,5
",",6,0
Ohio,0,5
ago,5,0
on,6,0
Atlantic,0,5
Ocean,0,6
AUSTRIA,5,5
SCOTLAND,5,5
EUROPEAN,7,7
UNDER-21,8,0
MATCH,8,0
Germany,5,5
of,5,0
Russia,0,5
intervention,5,0
Chechnya,0,5
Minnesota,5,5
Marty,1,1
Cordova,2,2
Matt,1,1
Lawton,2,2
Frankie,1,1
Rodriguez,2,2
earn,3,0
starter,5,0
a,3,0
Minnesota,0,3
Twins,0,4
Texas,0,3
Rangers,0,4
police,3,0
Komala,1,1
Brisbane,5,3
CALIFORNIA,5,3
Saturday,7,0
HOUSTON,5,3
Chicago,5,3
banks,3,0
societies,3,0
Dutroux,1,1
Slovakia,5,5
GMT,5,7
EASTERN,0,7
DIVISION,0,8
HCFA,3,3
Administrator,2,0
company,3,0
French,7,7
march,7,0
Belinda,1,1
Goldsmith,2,2
Kindercare,3,0
Q1,7,0
results,8,0
U.S.,5,5
President,2,0
Bill,2,1
Clinton,2,2
resort,5,0
Ballybunion,5,3
Irish,7,7
Patricia,1,1
Vowinkel,2,2
English,7,7
Birmingham,5,3
Barnsley,5,3
Bradford,5,3
ATHENS,5,5
"""",1,0
think,2,0
's,3,0
a,4,0
lot,5,0
material,6,0
would,7,0
our,8,0
Edward,0,1
Studies,0,4
American,0,3
Albanian,7,7
Albania,5,5
England,3,5
Will,1,1
Carling,2,2
Jeremy,1,1
Guscott,2,2
Rory,1,1
Underwood,2,2
Dean,1,1
Richards,2,2
England,3,5
Germany,5,5
Britain,5,5
imports,7,0
Spain,5,5
Paul,1,1
Broadhurst,2,2
Greg,1,1
Turner,2,2
New,5,5
Zealand,6,6
Mike,1,1
Berkshire,5,3
Wood,0,4
Elves,0,4
a,3,0
Portuguese,7,7
Porto,3,3
Setubal,5,3
Major,0,7
League,3,8
BOLSWESSANEN,0,3
Oppenheimer,3,3
Capital,4,4
LP,4,4
Arkansas,5,5
a,7,0
houses,5,0
WASHINGTON,5,5
Forfar,5,3
Inverness,5,3
Dutch,7,7
Ajax,3,3
Amsterdam,6,4
Saturday,7,0
2-0,7,0
Heerenveen,3,3
CHICAGO,5,5
Dawn,1,1
Bowles,2,2
U.S.,5,5
WASHINGTON,5,5
Garang,1,1
the,3,0
international,7,0
German,6,7
airports,7,0
January-July,8,0
1994,7,0
he,2,0
prison,5,0
thief,1,0
Essendon,3,3
1947,7,0
Malta,5,5
Aston,1,3
Villa,2,4
of,5,0
Albania,0,5
Olivier,1,1
Panis,2,2
France,5,5
BOMBAY,5,5
RUGBY,0,3
UNION,3,4
MULDER,1,1
European,0,3
Union,3,4
Central,0,3
European,0,4
Free,0,4
Trade,0,4
Area,0,4
comprises,5,0
Hungary,0,5
",",5,0
Slovakia,0,5
and,5,0
the,6,0
Czech,0,5
Republic,0,6
BALTIMORE,5,3
California,5,3
Liam,1,1
brother,1,0
Noel,0,1
CBOE,3,3
MFS,0,3
Promodes,0,3
German,7,7
Palestinians,7,7
Jerusalem,5,5
