token,pred,true
company,3,0
analysts,1,0
one,1,0
Antwerp,5,3
Lommel,5,3
Liverpool,5,3
Sunderland,5,3
WESTERN,7,7
DIVISION,8,8
Kragujevac,5,5
people,1,0
Stanojlovic,1,1
government,3,0
people,1,0
Soviet,3,7
Kremlin,3,5
that,1,0
Evert,1,1
Alexandroupolis,5,5
Mark,1,1
Philippoussis,2,2
Australian,7,7
Mark,2,1
Woodforde,2,2
U.S.,5,7
Open,6,8
Sao,5,3
Paulo,6,4
Juventude,3,3
beat,3,0
Internacional,0,3
Slovakia,5,5
African,5,7
Nations,4,8
Cup,7,8
African,7,7
of,5,0
Burundi,0,5
"""",1,0
Terence,0,1
economic,7,0
U.S.,5,5
Russian-Chechen,7,7
Vitoria,5,3
Willem,1,3
II,2,4
Tilburg,5,4
RKC,3,3
Waalwijk,6,4
A.,0,1
Kumble,1,2
N.,1,1
Mongia,0,2
",",1,0
V.,0,1
Prasad,1,2
A.,1,1
Kapoor,0,2
August,7,0
but,7,0
NEW,7,3
YORK,6,4
Taibe,5,3
Jewish,7,7
coastal,8,0
town,5,0
Netanya,5,5
OSCE,7,3
Serb,7,7
authorities,4,0
places,5,0
Levy,1,1
Best,3,3
Evelyn,1,1
Leopold,2,2
MON,7,0
Distillers,4,3
YR,7,0
DIV,8,0
Yeltsin,1,1
He,1,0
Oncins,7,1
who,1,0
tennis,7,0
U.N.,3,3
Ekeus,1,1
Baghdad,5,5
Turkish,7,7
people,2,0
Bosnia,5,5
Netanyahu,1,1
closure,7,0
peace,7,0
Palestine,3,3
Liberation,4,4
Organisation,4,4
PLO,3,3
Hove,5,5
Sussex,5,3
W.,0,1
Athey,1,2
Lancashire,3,3
Peter,1,1
Blackburn,2,2
Neale,1,1
Fraser,2,2
Newcombe,1,1
Roche,1,1
Major,7,7
League,8,8
Baseball,8,8
BUCHAREST,5,5
1996-08-25,8,0
economy,7,0
a,7,0
European,4,7
He,1,0
Talbott,1,1
who,1,0
meet,1,0
his,8,0
Canadian,1,7
",",1,0
Gordon,2,1
Smith,0,2
",",5,0
Ottawa,0,5
situation,5,0
Haiti,0,5
Major,7,7
League,4,8
Vicorp,3,3
Restaurants,8,4
Inc,3,4
