token,pred,true
Matsushita,1,1
Nihon,3,3
Keizai,4,4
Shimbun,4,4
Blackpool,3,3
Hednesford,3,3
Ulker,3,3
Spor,4,4
Turkey,5,5
Alexander,1,1
Bavykin,2,2
Russia,5,5
ministry,3,0
Moscow,5,5
Turkey,5,5
Syria,5,5
PKK,3,3
Kurdish,7,7
Turkey,5,5
U.S.,1,3
Municipal,0,4
Desk,5,4
",",6,0
Hapoel,3,3
Beit,6,4
She'an,6,4
Hapoel,3,3
Beersheba,6,4
Real,3,3
Madrid,4,4
Balkan,7,5
Davor,1,1
Suker,2,2
Predrag,1,1
Mijatovic,2,2
Barcelona,3,3
Spain,5,5
French,7,7
Ireland,5,5
Michigan,5,5
Stephenville,5,5
Newfoundland,5,5
Mexico,5,5
Aninat,1,1
Canada,5,5
Svetlana,1,1
Gladishiva,2,2
New,5,5
Mexico,6,6
Santa,5,3
Fe,6,4
Newmont,3,3
PSV,3,3
Eindhoven,4,4
Ipswich,5,3
Wolverhampton,5,3
VANCOUVER,5,3
World,7,7
Cup,8,8
TORONTO,0,3
6,1,0
.353,5,0
10,6,0
LONDON,5,5
was,1,0
Bundesbank,5,3
intervention,6,0
NEW,5,5
YORK,6,6
Florence,1,5
Masnada,2,1
France,5,5
Bayern,3,3
Munich,4,4
Mafikeng,5,5
NEW,5,5
YORK,6,6
Southend,5,3
West,3,5
Indies,4,6
Tom,1,1
Moody,2,2
Shane,1,1
Warne,2,2
Northern,5,5
Ireland,6,6
premier,7,0
Russia,5,5
Yeltsin,1,1
Kremlin,5,5
Salomon,3,3
China,5,5
Guilin,5,5
Guangxi,5,5
Xinhua,3,3
Phoenix,5,3
ST,5,3
LOUIS,6,4
Gulf,5,5
of,6,6
Mexico,6,6
Toledo,5,5
Poland,5,5
President,1,0
Aleksander,2,1
Kwasniewski,2,2
Polish-born,7,0
Pope,2,0
John,2,1
Paul,2,2
Vatican,5,5
Warsaw,5,5
Florence,1,1
Masnada,2,2
France,5,5
Napoli,3,3
Verona,3,3
Thai,3,7
Commerce,4,3
Ministry,4,4
Thai,7,7
Learjet,7,7
36,8,8
David,1,1
Snow,2,2
Denmark,5,5
Radiometer,3,0
Electronic,3,3
Data,4,4
Systems,4,4
Private,7,0
Finance,8,0
Initiative,8,0
B.,0,1
Lara,1,2
Warne,1,1
Moody,1,1
MILWAUKEE,5,3
WASHINGTON,5,5
U.N.,3,3
Copenhagen,5,5
U.N.,3,3
development,4,0
programme,4,0
Inge,1,1
Kaul,2,2
Korneilus,1,1
Hole,2,2
Norway,5,5
ST,5,3
LOUIS,6,4
Premier,7,7
league,8,8
Extremadura,5,3
St,5,5
Louis,6,6
COLORADO,5,5
Hapoel,3,3
Petah,4,4
Tikva,4,4
Marianne,1,1
Timmer,2,2
Netherlands,5,5
Patrizia,1,1
Bassis,2,2
Italy,5,5
China,5,5
Uzbekistan,5,5
Martina,1,1
Ertl,2,2
Germany,5,5
SPANISH,7,7
N.,5,5
Ireland,6,6
Bradford,5,3
C.,1,1
Hooper,2,2
Espanyol,3,3
Bre-X,3,3
Indonesian,7,7
Busang,5,5
Radio,3,3
Romania,4,4
Havel,1,1
LA,3,3
CLIPPERS,4,4
NAC,3,3
Breda,4,4
PORTLAND,5,3
Australian,7,7
NY,3,3
RANGERS,4,4
Sun,1,1
Jun,2,2
China,5,5
Rashid,1,1
Sidek,2,2
Malaysia,5,5
Christopher,1,1
Granville,2,2
United,3,3
City,4,4
Bank,4,4
Moscow,5,5
AMARILLO,5,5
Moustapha,1,1
Niasse,2,2
Shwe,5,5
Dagon,6,6
pagoda,6,0
Rangoon,5,5
Kinshasa,5,5
Zairean,7,7
Zaire,5,5
