token,pred,true
Antwerp,5,3
Lommel,5,3
Liverpool,5,3
Sunderland,5,3
WESTERN,7,7
DIVISION,4,8
Kragujevac,5,5
Stanojlovic,1,1
people,1,0
Soviet,7,7
Kremlin,5,5
cheaply,1,0
Evert,1,1
Alexandroupolis,5,5
Mark,1,1
Philippoussis,2,2
Australian,5,7
Mark,2,1
Woodforde,2,2
at,5,0
the,6,0
U.S.,0,7
Open,0,8
Sao,0,3
Paulo,5,4
Juventude,7,3
beat,7,0
Internacional,0,3
Slovakia,5,5
African,5,7
Nations,6,8
Cup,0,8
African,7,7
),8,0
Burundi,5,5
Terence,0,1
.,1,0
U.S.,5,5
Russian-Chechen,7,7
Vitoria,0,3
5,1,0
Willem,1,3
II,0,4
Tilburg,5,4
RKC,3,3
Waalwijk,6,4
A.,0,1
Kumble,1,2
N.,1,1
Mongia,0,2
",",1,0
V.,0,1
Prasad,1,2
A.,1,1
Kapoor,0,2
August,5,0
19,6,0
NEW,0,3
YORK,5,4
Taibe,5,3
Jewish,7,7
town,5,0
Netanya,0,5
OSCE,7,3
Serb,1,7
Levy,1,1
Best,3,3
Evelyn,1,1
Leopold,2,2
MON,7,0
Distillers,4,3
Yeltsin,1,1
Oncins,7,1
U.N.,3,3
Ekeus,1,1
Baghdad,5,5
Turkish,7,7
Bosnia,5,5
Netanyahu,1,1
Palestine,7,3
Liberation,8,4
Organisation,8,4
PLO,0,3
Hove,5,5
Sussex,5,3
W.,0,1
Athey,1,2
v,5,0
Lancashire,0,3
Peter,1,1
Blackburn,2,2
Neale,1,1
Fraser,2,2
",",1,0
Newcombe,0,1
Roche,1,1
Major,0,7
League,0,8
Baseball,0,8
BUCHAREST,5,5
a,7,0
European,6,7
Talbott,1,1
his,7,0
Canadian,0,7
counterpart,1,0
",",2,0
Gordon,0,1
Smith,5,2
Ottawa,0,5
Haiti,0,5
.,5,0
Major,0,7
League,5,8
Vicorp,3,3
Restaurants,8,4
Inc,3,4
Richard,1,1
Sabourin,2,2
Clinton,1,1
Democratic,7,7
IRVINE,5,5
Calif.,5,5
Huracan,7,3
Lanus,7,3
0,6,0
The,5,0
