token,pred,true
MLN,7,0
"+1,161",7,0
+400.9,8,0
+310.4,8,0
"54,703.0",7,0
Sebastian,1,1
Lindholm,2,2
Finland,5,5
Ford,3,7
Escort,4,8
Chris,1,1
Walker,2,2
England,5,5
Amr,1,1
Shabana,2,2
Egypt,5,5
OB,3,3
Lotte,3,3
1,4,0
Meluawati,1,1
Indonesia,5,5
Chan,1,1
Chia,2,2
Fong,2,2
Malaysia,5,5
congress,3,0
turn,4,0
party,3,0
electoral,4,0
"""",3,0
the,4,0
Socialist,4,0
Zeri,4,3
i,4,4
Popullit,0,4
Cozma,1,1
's,2,0
Lupu,1,1
Reuters,3,3
Tuesday,7,0
Manila,5,5
MOSCOW,5,5
1996-08-26,7,0
the,3,0
FFK,0,3
GENOA,5,5
Italy,5,5
1996-08-29,7,0
Huddersfield,5,3
Steptoe,1,3
&,0,4
Johnson,1,4
Clarksburg,5,5
West,5,3
Coast,6,4
Somerset,5,3
Oxford,5,3
Norwich,5,3
Terry,1,1
Price,2,2
Australia,5,5
Paul,1,1
Eales,2,2
Wayne,1,1
Tortelli,1,1
Adrian,1,1
Warner,2,2
Bristol,5,5
Gloucestershire,5,3
J.,1,1
Russell,2,2
Northamptonshire,5,3
K.,7,1
Curran,8,2
China,5,5
Britain,5,5
France,5,5
Russia,5,5
United,5,5
States,6,6
Kurt,1,1
Betschart,2,2
Bruno,1,1
Risi,2,2
Switzerland,5,5
AMSTERDAM,5,5
Sunday,0,1
Bada,1,2
Nigeria,5,5
ADDIS,6,5
ABABA,6,6
Bombay,5,5
+91-22-265,7,0
9000,8,0
Newcrest,3,3
Telfer,5,5
Boddington,5,5
Danielle,1,1
Murray,2,2
Sandusky,5,5
Ohio,6,5
the,5,0
Atlantic,6,5
Ocean,0,6
AUSTRIA,5,5
SCOTLAND,5,5
EUROPEAN,7,7
UNDER-21,8,0
Germany,5,5
Russia,5,5
in,5,0
Chechnya,0,5
Minnesota,5,5
Marty,1,1
Cordova,2,2
Matt,1,1
Lawton,2,2
Frankie,1,1
Rodriguez,2,2
a,3,0
Minnesota,0,3
Twins,5,4
held,3,0
the,3,0
Texas,0,3
Rangers,0,4
.,3,0
quarter,7,0
said,1,0
Komala,0,1
Brisbane,5,3
CALIFORNIA,5,3
HOUSTON,5,3
Chicago,5,3
Mortgage,7,0
banks,3,0
building,3,0
societies,4,0
point,7,0
Dutroux,1,1
Slovakia,5,5
July,5,0
18:00,7,0
GMT,8,7
EASTERN,0,7
DIVISION,0,8
HCFA,3,3
Administrator,1,0
reimbursement,7,0
company,3,0
's,4,0
liaison,4,0
personnel,2,0
French,0,7
Belinda,1,1
Goldsmith,2,2
Kindercare,3,0
Q1,7,0
results,8,0
U.S.,5,5
President,7,0
Bill,1,1
Clinton,2,2
resort,5,0
of,6,0
Ballybunion,5,3
whirlwind,5,0
Irish,0,7
.,8,0
Patricia,1,1
Vowinkel,2,2
English,0,7
Birmingham,5,3
Barnsley,5,3
Bradford,5,3
ATHENS,5,5
",",1,0
"""",2,0
Edward,3,1
Smith,4,2
American,5,3
Studies,0,4
American,0,3
University,0,4
Washington,0,5
Albanian,7,7
neighbouring,5,0
Albania,0,5
.,2,0
England,5,5
Will,1,1
Carling,2,2
Jeremy,1,1
Guscott,2,2
Rory,1,1
Underwood,2,2
Dean,1,1
Richards,2,2
of,5,0
England,0,5
Germany,5,5
Britain,5,5
Spain,5,5
Paul,1,1
Broadhurst,2,2
Greg,1,1
Turner,2,2
New,3,5
Zealand,4,6
Mike,1,1
Berkshire,3,3
Wood,4,4
Elves,4,4
"1,600",7,0
"1,650",8,0
"1,850-1,900",7,0
Portuguese,7,7
Porto,3,3
Setubal,5,3
Saturday,5,0
police,3,0
spokesman,1,0
bush,5,0
Major,3,7
League,4,8
BOLSWESSANEN,1,3
Oppenheimer,3,3
Capital,4,4
LP,4,4
Arkansas,5,5
WASHINGTON,5,5
1996-08-27,8,0
Forfar,5,3
Inverness,5,3
Dutch,0,7
Ajax,3,3
Amsterdam,5,4
2-0,7,0
Heerenveen,3,3
CHICAGO,5,5
1996-08-29,7,0
Dawn,1,1
Bowles,2,2
U.S.,5,5
WASHINGTON,5,5
Garang,1,1
government,3,0
German,5,7
airports,6,0
January-July,7,0
1996,8,0
he,1,0
prison,5,0
thief,2,0
Essendon,1,3
1947,7,0
Malta,5,5
Dollar,7,0
mark,1,0
Aston,3,3
Villa,4,4
streets,5,0
Albania,0,5
Olivier,1,1
Panis,2,2
France,5,5
BOMBAY,5,5
RUGBY,0,3
UNION,3,4
MULDER,1,1
European,3,3
Union,4,4
the,5,0
Central,6,3
European,6,4
Free,6,4
Trade,6,4
Area,0,4
also,5,0
Hungary,5,5
Slovakia,5,5
the,5,0
Czech,6,5
Republic,0,6
BALTIMORE,5,3
California,5,3
Monday,7,0
minutes,6,0
Liam,1,1
includes,8,0
brother,1,0
Noel,0,1
CBOE,3,3
MFS,0,3
Promodes,1,3
set,3,0
sell,5,0
German,0,7
-,2,0
paper,3,0
Palestinians,1,7
Jerusalem,5,5
