token,pred,true
RESERVES,1,0
(,7,0
$,2,0
),3,0
"+1,161",4,0
+400.9,8,0
+310.4,5,0
"54,703.0",6,0
Sebastian,0,1
Lindholm,1,2
(,2,0
Finland,0,5
),5,0
Ford,0,7
Escort,4,8
5:17,3,0
Chris,1,1
Walker,2,2
England,5,5
Amr,1,1
Shabana,2,2
Egypt,5,5
OB,0,3
Lotte,3,3
Meluawati,1,1
Indonesia,5,5
Chan,1,1
Chia,2,2
Fong,2,2
Malaysia,5,5
congress,3,0
a,7,0
and,8,0
Socialist,7,0
Zeri,3,3
i,0,4
Popullit,3,4
Cozma,1,1
's,2,0
Lupu,1,1
Reuters,3,3
Manila,5,5
MOSCOW,5,5
the,3,0
FFK,0,3
GENOA,5,5
Italy,5,5
1996-08-29,7,0
Huddersfield,5,3
L.O.,3,0
Steptoe,3,3
&,0,4
Johnson,4,4
Clarksburg,5,5
West,3,3
Coast,4,4
speaker,1,0
Somerset,5,3
Oxford,5,3
Norwich,5,3
Terry,1,1
Price,2,2
Australia,5,5
Paul,1,1
Eales,2,2
Wayne,1,1
Tortelli,1,1
Adrian,1,1
Warner,2,2
Bristol,5,5
Gloucestershire,6,3
J.,1,1
Russell,2,2
Northamptonshire,5,3
K.,1,1
Curran,2,2
China,5,5
Britain,5,5
France,5,5
Russia,5,5
United,5,5
States,6,6
Kurt,1,1
Betschart,2,2
Bruno,1,1
Risi,1,2
Switzerland,5,5
22,7,0
man,1,0
women,1,0
AMSTERDAM,5,5
1996-08-27,7,0
Sunday,2,1
Bada,1,2
Nigeria,5,5
45.21,8,0
ADDIS,0,5
ABABA,1,6
1996-08-25,1,0
Bombay,3,5
newsroom,4,0
+91-22-265,7,0
9000,8,0
Newcrest,3,3
Telfer,5,5
Boddington,5,5
Danielle,1,1
Murray,2,2
from,3,0
Sandusky,5,5
",",38,0
Ohio,39,5
",",1,0
the,2,0
as,5,0
Atlantic,0,5
Ocean,0,6
-,1,0
AUSTRIA,2,5
BEAT,3,0
SCOTLAND,4,5
4-0,5,0
IN,4,0
EUROPEAN,6,7
MATCH,7,0
.,8,0
Germany,5,5
Russia,5,5
Chechnya,5,5
killed,5,0
.,9,0
At,1,0
Minnesota,2,5
",",3,0
Marty,4,1
Cordova,5,2
and,6,0
Matt,7,1
Lawton,8,2
hit,9,0
solo,10,0
homers,11,0
and,12,0
Frankie,13,1
Rodriguez,14,2
allowed,15,0
six,16,0
hits,17,0
over,18,0
seven,19,0
innings,20,0
to,21,0
earn,22,0
his,23,0
first,24,0
win,25,0
as,26,0
a,27,0
starter,28,0
in,29,0
a,30,0
month,31,0
as,32,0
the,33,0
Minnesota,34,3
Twins,35,4
held,36,0
on,37,0
to,38,0
beat,39,0
the,40,0
Texas,41,3
Rangers,42,4
6-5,43,0
.,6,0
police,1,0
spokesman,2,0
boy,1,0
said,1,0
Komala,0,1
Brisbane,5,3
CALIFORNIA,5,3
Saturday,7,0
HOUSTON,5,3
Chicago,5,3
with,3,0
building,3,0
societies,4,0
Dutroux,1,1
Slovakia,5,5
July,7,0
18:00,7,0
GMT,5,7
EASTERN,3,7
DIVISION,4,8
HCFA,3,3
Administrator,4,0
French,0,7
Belinda,1,1
Goldsmith,2,2
Kindercare,3,0
Q1,7,0
U.S.,1,5
President,2,0
Bill,3,1
Clinton,0,2
had,1,0
to,2,0
drop,3,0
the,10,0
of,1,0
Ballybunion,2,3
from,3,0
a,4,0
whirlwind,5,0
Irish,6,7
tour,7,0
last,8,0
year,9,0
.,10,0
Patricia,1,1
Vowinkel,2,2
English,0,7
Birmingham,5,3
Barnsley,5,3
Bradford,5,3
ATHENS,5,5
1996-08-28,7,0
said,1,0
Edward,2,1
Smith,0,2
of,7,0
American,8,3
Studies,0,4
at,3,0
American,4,3
University,0,4
in,3,0
Washington,4,5
Albanian,0,7
Albania,5,5
England,3,5
captain,4,0
Will,1,1
Carling,2,2
Jeremy,1,1
Guscott,2,2
Rory,1,1
Underwood,2,2
Dean,1,1
Richards,2,2
left,5,0
out,6,0
of,7,0
England,8,5
training,3,0
squad,4,0
Germany,5,5
Britain,5,5
Spain,1,5
Paul,1,1
Broadhurst,2,2
Greg,1,1
Turner,2,2
New,3,5
Zealand,4,6
Mike,1,1
Berkshire,7,3
Wood,6,4
Elves,8,4
home-made,21,0
explosives,20,0
a,3,0
police,4,0
Portuguese,0,7
Porto,3,3
Setubal,3,3
.,1,0
"""",1,0
is,2,0
step,3,0
of,4,0
emergency,5,0
",",6,0
a,7,0
spokesman,8,0
via,9,0
telephone,7,0
from,10,0
a,8,0
command,11,0
in,12,0
bush,13,0
Major,3,7
League,4,8
BOLSWESSANEN,3,3
Oppenheimer,3,3
Capital,4,4
LP,4,4
.,8,0
Arkansas,5,5
WASHINGTON,5,5
1996-08-27,7,0
Forfar,5,3
Inverness,5,3
Dutch,1,7
champions,2,0
Ajax,3,3
Amsterdam,0,4
faltered,1,0
in,2,0
their,3,0
second,4,0
league,5,0
match,6,0
of,7,0
the,8,0
season,9,0
on,10,0
Saturday,11,0
losing,12,0
2-0,13,0
away,14,0
at,15,0
Heerenveen,16,3
.,17,0
CHICAGO,5,5
Dawn,1,1
Bowles,2,2
U.S.,7,5
WASHINGTON,5,5
1996-08-29,7,0
Garang,1,1
The,1,0
following,2,0
table,3,0
shows,4,0
total,5,0
flown,6,0
air,7,0
cargo,8,0
volumes,9,0
in,10,0
tonnes,11,0
handled,12,0
at,13,0
international,14,0
German,15,7
airports,16,0
January-July,17,0
1996,18,0
.,19,0
1994,7,0
Essendon,3,3
21,4,0
Malta,5,5
mark,1,0
Aston,3,3
Villa,4,4
impoverished,5,0
Albania,0,5
Olivier,0,1
Panis,1,2
(,2,0
France,0,5
),5,0
BOMBAY,5,5
1996-08-28,7,0
RUGBY,3,3
UNION,4,4
MULDER,1,1
They,1,0
have,2,0
already,3,0
signed,4,0
an,5,0
association,6,0
agreement,7,0
with,8,0
the,9,0
European,10,3
Union,11,4
and,12,0
are,13,0
both,14,0
part,15,0
of,16,0
the,17,0
Central,18,3
European,19,4
Free,20,4
Trade,21,4
Area,22,4
",",23,0
which,24,0
also,25,0
comprises,26,0
Hungary,27,5
",",28,0
Slovakia,29,5
and,30,0
the,31,0
Czech,32,5
Republic,33,6
BALTIMORE,5,3
California,5,3
Monday,7,0
Liam,1,1
his,8,0
brother,2,0
Noel,1,1
CBOE,3,3
MFS,3,3
options,4,0
Promodes,3,3
German,0,7
Palestinians,1,7
Jerusalem,5,5
