token,pred,true
Sebastian,1,1
Lindholm,2,2
Finland,5,5
Ford,3,7
Escort,0,8
Chris,1,1
Walker,2,2
England,5,5
Amr,1,1
Shabana,2,2
Egypt,5,5
OB,0,3
Lotte,3,3
Meluawati,1,1
Indonesia,5,5
Chan,1,1
Chia,2,2
Fong,2,2
Malaysia,5,5
"""",7,0
The,4,0
Social-Democratic,7,0
electoral,7,0
",",7,0
ideological,7,0
the,3,0
Zeri,3,3
i,4,4
Popullit,0,4
in,7,0
.,7,0
Cozma,1,1
I,1,0
man,1,0
Lupu,1,1
Reuters,3,3
Tuesday,7,0
Manila,5,5
MOSCOW,5,5
",",3,0
FFK,0,3
GENOA,5,5
Italy,5,5
Huddersfield,5,3
L.O.,3,0
Steptoe,1,3
&,0,4
Johnson,1,4
Clarksburg,5,5
West,5,3
Coast,6,4
speaker,1,0
Somerset,5,3
Oxford,5,3
Norwich,5,3
Terry,1,1
Price,2,2
Australia,5,5
Paul,1,1
Eales,2,2
Wayne,1,1
Tortelli,1,1
Adrian,1,1
Warner,2,2
Bristol,5,5
Gloucestershire,5,3
J.,1,1
Russell,2,2
Northamptonshire,5,3
K.,1,1
Curran,2,2
China,5,5
Britain,5,5
France,5,5
Russia,5,5
United,5,5
States,6,6
Kurt,1,1
Betschart,2,2
Bruno,1,1
Risi,2,2
Switzerland,5,5
AMSTERDAM,5,5
5.5,7,0
"15,286",7,0
2.4,7,0
"79,390",7,0
Sunday,0,1
Bada,1,2
Nigeria,5,5
ADDIS,5,5
ABABA,0,6
Bombay,5,5
newsroom,6,0
Newcrest,3,3
Telfer,5,5
Boddington,5,5
Danielle,1,1
Murray,2,2
Sandusky,5,5
Ohio,5,5
its,5,0
Atlantic,1,5
Ocean,2,6
AUSTRIA,5,5
SCOTLAND,5,5
4-0,8,0
EUROPEAN,0,7
UNDER-21,7,0
Germany,5,5
Russia,5,5
Chechnya,5,5
Minnesota,5,5
Marty,1,1
Cordova,2,2
Matt,1,1
Lawton,2,2
Frankie,1,1
Rodriguez,2,2
Minnesota,5,3
Twins,4,4
Texas,0,3
Rangers,3,4
6-5,4,0
spokesman,1,0
said,1,0
Komala,0,1
Brisbane,5,3
CALIFORNIA,5,3
Saturday,5,0
HOUSTON,5,3
Chicago,5,3
banks,3,0
societies,3,0
Dutroux,1,1
Slovakia,5,5
July,7,0
GMT,0,7
EASTERN,3,7
DIVISION,4,8
place,5,0
French,0,7
Belinda,1,1
Goldsmith,2,2
Kindercare,3,0
Q1,7,0
U.S.,5,5
Bill,1,1
Clinton,2,2
Ballybunion,5,3
Irish,0,7
Patricia,1,1
Vowinkel,2,2
English,0,7
Birmingham,5,3
Barnsley,5,3
Bradford,5,3
ATHENS,5,5
war,7,0
said,1,0
Edward,2,1
Smith,0,2
director,3,0
of,4,0
American,0,3
Studies,3,4
at,4,0
American,0,3
University,5,4
Washington,0,5
Albanian,0,7
Albania,5,5
England,5,5
Will,1,1
Carling,2,2
Jeremy,1,1
Guscott,2,2
Rory,1,1
Underwood,2,2
Dean,1,1
Richards,2,2
England,5,5
Germany,5,5
Britain,5,5
Spain,5,5
Paul,1,1
Broadhurst,2,2
Greg,1,1
Turner,2,2
New,5,5
Zealand,6,6
Mike,1,1
Berkshire,5,3
Wood,4,4
Elves,4,4
investigation,3,0
Portuguese,0,7
Porto,5,3
2-2,7,0
Setubal,5,3
Major,3,7
League,4,8
BOLSWESSANEN,5,3
Oppenheimer,1,3
Capital,4,4
LP,4,4
Arkansas,5,5
WASHINGTON,5,5
Forfar,5,3
Inverness,5,3
Dutch,0,7
Ajax,3,3
Amsterdam,6,4
Saturday,7,0
Heerenveen,3,3
CHICAGO,5,5
Dawn,1,1
Bowles,2,2
U.S.,5,5
WASHINGTON,5,5
Garang,1,1
German,5,7
Essendon,3,3
Malta,5,5
Aston,1,3
Villa,2,4
Albania,5,5
visited,7,0
Olivier,1,1
Panis,2,2
France,5,5
BOMBAY,5,5
RUGBY,3,3
UNION,4,4
MULDER,1,1
They,1,0
have,2,0
already,2,0
signed,2,0
an,3,0
association,4,0
agreement,4,0
with,5,0
the,6,0
European,7,3
Union,4,4
and,8,0
which,5,0
Hungary,5,5
the,7,0
Republic,7,6
.,2,0
BALTIMORE,5,3
California,5,3
his,1,0
Liam,1,1
his,1,0
Noel,1,1
CBOE,3,3
MFS,3,3
Promodes,3,3
German,5,7
Palestinians,1,7
Jerusalem,5,5
