token,pred,true
yen,7,0
the,7,0
Matsushita,0,1
Nihon,0,3
Keizai,0,4
Shimbun,3,4
.,4,0
Blackpool,5,3
Hednesford,5,3
Ulker,3,3
Spor,4,4
Turkey,5,5
party,1,0
Alexander,1,1
Bavykin,2,2
Russia,5,5
Moscow,5,5
Turkey,5,5
Syria,5,5
PKK,7,3
Kurdish,7,7
southeast,5,0
Turkey,6,5
U.S.,5,3
Municipal,0,4
Desk,0,4
Hapoel,3,3
Beit,6,4
She'an,6,4
Hapoel,3,3
Beersheba,6,4
Real,0,3
Madrid,3,4
Balkan,7,5
Davor,1,1
Suker,2,2
Predrag,1,1
Mijatovic,2,2
Barcelona,3,3
Spain,5,5
French,7,7
foreign,7,0
Ireland,5,5
Michigan,5,5
Stephenville,5,5
Newfoundland,5,5
January,5,0
or,6,0
with,5,0
Mexico,0,5
Aninat,1,1
with,5,0
Canada,0,5
Svetlana,1,1
Gladishiva,2,2
New,0,5
Mexico,5,6
Santa,5,3
Fe,6,4
from,3,0
Newmont,0,3
PSV,3,3
Eindhoven,6,4
Ipswich,5,3
Wolverhampton,5,3
VANCOUVER,5,3
World,7,7
Cup,8,8
TORONTO,5,3
LONDON,5,5
Bundesbank,3,3
NEW,5,5
YORK,6,6
Florence,1,5
Masnada,2,1
France,5,5
Bayern,3,3
Munich,6,4
Mafikeng,5,5
NEW,5,5
YORK,6,6
Southend,5,3
West,5,5
Indies,6,6
Tom,1,1
Moody,2,2
to,1,0
Shane,2,1
Warne,0,2
Northern,5,5
Ireland,6,6
Russia,5,5
Yeltsin,1,1
Kremlin,5,5
Salomon,1,3
bond,7,0
index,8,0
China,5,5
Guilin,5,5
Guangxi,5,5
the,3,0
Xinhua,0,3
Phoenix,5,3
ST,0,3
LOUIS,5,4
Gulf,5,5
of,0,6
Mexico,5,6
Toledo,5,5
Poland,5,5
President,1,0
Aleksander,2,1
Kwasniewski,2,2
Pope,1,0
John,2,1
Paul,2,2
Vatican,5,5
Warsaw,0,5
Florence,1,1
Masnada,2,2
France,5,5
Napoli,5,3
Verona,5,3
Thai,7,7
Commerce,4,3
Ministry,4,4
Thai,7,7
Learjet,3,7
36,8,8
",",5,0
manager,1,0
David,2,1
Snow,0,2
Denmark,5,5
Radiometer,3,0
H1,8,0
Electronic,3,3
Data,4,4
Systems,4,4
the,3,0
Private,4,0
Finance,4,0
B.,0,1
Lara,1,2
Warne,1,1
Moody,1,1
MILWAUKEE,5,3
WASHINGTON,5,5
U.N.,3,3
Copenhagen,5,5
U.N.,3,3
Inge,1,1
Kaul,2,2
Korneilus,1,1
Hole,2,2
Norway,5,5
ST,5,3
LOUIS,6,4
Premier,7,7
league,8,8
Extremadura,5,3
Division,7,0
One,8,0
St,5,5
Louis,6,6
COLORADO,5,5
Hapoel,3,3
Petah,6,4
Tikva,6,4
Marianne,1,1
Timmer,2,2
Netherlands,5,5
),6,0
Patrizia,1,1
Bassis,2,2
Italy,5,5
China,5,5
newcomers,5,0
Uzbekistan,0,5
Martina,1,1
Ertl,2,2
Germany,5,5
SOCCER,7,0
SPANISH,7,7
Woman,1,0
N.,1,5
Ireland,6,6
Bradford,5,3
kroons,7,0
November,5,0
C.,0,1
Hooper,1,2
Espanyol,3,3
Bre-X,3,3
Indonesian,5,7
government,4,0
Busang,5,5
Radio,7,3
Romania,6,4
Havel,1,1
Monday,5,0
LA,5,3
CLIPPERS,4,4
NAC,3,3
Breda,6,4
PORTLAND,5,3
Australian,1,7
NY,5,3
RANGERS,4,4
Sun,1,1
Jun,2,2
China,5,5
),6,0
Rashid,1,1
Sidek,2,2
Malaysia,5,5
said,1,0
Christopher,2,1
Granville,0,2
economist,3,0
at,6,0
United,3,3
City,0,4
Bank,5,4
Moscow,0,5
AMARILLO,5,5
1996-12-06,8,0
CENTRAL,3,0
DIVISION,4,0
brother,1,0
Moustapha,1,1
Niasse,2,2
Shwe,0,5
Dagon,0,6
Rangoon,5,5
the,5,0
Kinshasa,7,5
Zairean,0,7
much,5,0
Zaire,0,5
GLASGOW,5,5
SEATTLE,5,3
CANBERRA,5,5
terrorism,7,0
my,1,0
"""",3,0
TASR,0,3
WASHINGTON,5,3
opposition,7,0
foreign,8,0
affairs,8,0
spokesman,1,0
Laurie,2,1
Brereton,0,2
AC,3,3
Milan,6,4
Udinese,3,3
Hilde,1,1
Gerg,2,2
Germany,5,5
RTRS,3,3
Australian,5,7
MP,2,0
John,2,1
Langmore,0,2
Katja,1,1
Seizinger,2,2
Germany,5,5
Russ,1,3
Berrie,2,4
July,5,0
Thursday,7,0
",",3,0
USDA,0,3
TAMPA,5,3
BAY,6,4
VAIL,5,5
Colorado,5,5
DETROIT,5,3
Mr,1,1
Yen,2,2
