token,pred,true
MLN,7,0
Sebastian,1,1
Lindholm,2,2
Finland,5,5
Ford,3,7
Escort,4,8
Chris,1,1
Walker,2,2
England,5,5
Amr,1,1
Shabana,2,2
Egypt,5,5
OB,1,3
Lotte,1,3
Meluawati,1,1
Indonesia,5,5
Chan,3,1
Chia,8,2
Fong,8,2
Malaysia,5,5
congress,3,0
the,7,0
Social-Democratic,8,0
electoral,7,0
and,8,0
the,7,0
Socialist,8,0
Zeri,8,3
i,8,4
Popullit,0,4
an,8,0
Cozma,1,1
's,2,0
I,1,0
man,2,0
Lupu,1,1
Reuters,3,3
Tuesday,7,0
Manila,5,5
MOSCOW,5,5
"2,746",7,0
roubles,8,0
40,7,0
"2,840",7,0
"2,998",8,0
the,3,0
FFK,0,3
GENOA,5,5
Italy,7,5
Huddersfield,5,3
Steptoe,1,3
&,0,4
Johnson,1,4
Clarksburg,5,5
West,0,3
Coast,5,4
2151,7,0
1673,8,0
speaker,1,0
Somerset,5,3
Oxford,5,3
Norwich,5,3
Terry,1,1
Price,2,2
Australia,5,5
Paul,1,1
Eales,2,2
Wayne,1,1
Tortelli,1,1
Adrian,1,1
Warner,2,2
Bristol,5,5
Gloucestershire,5,3
J.,1,1
Russell,2,2
Northamptonshire,5,3
K.,1,1
Curran,2,2
China,5,5
Britain,5,5
France,5,5
Russia,5,5
United,7,5
States,8,6
Kurt,1,1
Betschart,2,2
Bruno,1,1
Risi,2,2
Switzerland,5,5
man,1,0
women,1,0
sought,8,0
AMSTERDAM,5,5
1996-08-27,7,0
Sunday,7,1
Bada,0,2
Nigeria,5,5
ADDIS,0,5
ABABA,0,6
Bombay,5,5
+91-22-265,7,0
9000,8,0
Newcrest,3,3
Telfer,6,5
Boddington,6,5
Danielle,1,1
Murray,2,2
Sandusky,5,5
Ohio,6,5
Atlantic,5,5
Ocean,6,6
AUSTRIA,3,5
SCOTLAND,5,5
EUROPEAN,7,7
UNDER-21,8,0
Germany,5,5
Russia,5,5
Chechnya,6,5
Minnesota,5,5
Marty,1,1
Cordova,2,2
Matt,1,1
Lawton,2,2
Frankie,1,1
Rodriguez,2,2
a,3,0
Minnesota,5,3
Twins,3,4
the,4,0
Texas,0,3
Rangers,0,4
police,3,0
spokesman,1,0
boy,1,0
sales,7,0
performance,8,0
quarter,7,0
said,1,0
Komala,0,1
Brisbane,5,3
CALIFORNIA,5,3
Saturday,7,0
HOUSTON,5,3
Chicago,5,3
banks,3,0
building,3,0
societies,4,0
Dutroux,1,1
Slovakia,5,5
July,7,0
2001,7,0
"685,000",7,0
GMT,7,7
EASTERN,3,7
DIVISION,4,8
place,7,0
HCFA,3,3
Administrator,1,0
company,3,0
's,4,0
liaison,7,0
personnel,8,0
French,0,7
Belinda,1,1
Goldsmith,2,2
Kindercare,3,0
Q1,7,0
results,8,0
U.S.,5,5
President,2,0
Bill,1,1
Clinton,2,2
Ballybunion,5,3
Irish,5,7
Patricia,1,1
Vowinkel,2,2
English,0,7
Birmingham,5,3
Barnsley,5,3
Bradford,5,3
ATHENS,5,5
said,1,0
Edward,2,1
Smith,0,2
",",3,0
director,4,0
of,3,0
American,4,3
Studies,5,4
at,6,0
American,0,3
University,0,4
Washington,0,5
Albanian,7,7
neighbouring,5,0
Albania,5,5
England,5,5
Will,1,1
Carling,2,2
Jeremy,1,1
Guscott,2,2
Rory,1,1
Underwood,2,2
Dean,1,1
Richards,2,2
England,5,5
Germany,5,5
Britain,5,5
Spain,5,5
Paul,1,1
Broadhurst,2,2
Greg,1,1
Turner,2,2
New,5,5
Zealand,6,6
Mike,1,1
Berkshire,5,3
Wood,6,4
Elves,8,4
police,3,0
Gas,8,0
oil,8,0
Portuguese,5,7
Porto,3,3
home,6,0
Setubal,5,3
Saturday,7,0
"""",3,0
a,1,0
from,3,0
a,4,0
in,5,0
Major,7,7
League,8,8
BOLSWESSANEN,1,3
Oppenheimer,1,3
Capital,4,4
LP,4,4
Thursday,7,0
October,7,0
Arkansas,5,5
churches,4,0
across,6,0
WASHINGTON,5,5
1996-08-27,7,0
Forfar,5,3
Inverness,5,3
Dutch,0,7
Ajax,3,3
Amsterdam,5,4
Saturday,7,0
Heerenveen,3,3
CHICAGO,5,5
Dawn,1,1
Bowles,2,2
U.S.,5,5
WASHINGTON,5,5
Garang,1,1
We,1,0
united,2,0
we,1,0
government,3,0
us,8,0
international,7,0
German,0,7
airports,8,0
January-July,6,0
1996,7,0
1994,7,0
prison,7,0
thief,7,0
Essendon,3,3
2130,7,0
1947,8,0
109.4,7,0
Tourists,1,0
Malta,5,5
Dollar,7,0
mark,8,0
Aston,3,3
Villa,4,4
impoverished,5,0
Albania,0,5
Olivier,1,1
Panis,2,2
France,5,5
BOMBAY,5,5
RUGBY,7,3
UNION,0,4
MULDER,1,1
association,3,0
European,7,3
Union,4,4
Central,5,3
European,6,4
Free,4,4
Trade,4,4
Area,4,4
Hungary,5,5
Slovakia,5,5
the,5,0
Czech,6,5
Republic,0,6
BALTIMORE,5,3
California,5,3
Monday,7,0
minutes,7,0
flight,7,0
Liam,1,1
group,7,0
brother,1,0
Noel,0,1
CBOE,3,3
MFS,3,3
Promodes,3,3
German,7,7
Palestinians,1,7
Jerusalem,5,5
