token,pred,true
Matsushita,1,1
Nihon,3,3
Keizai,4,4
Shimbun,4,4
Blackpool,3,3
Hednesford,3,3
Ulker,3,3
Spor,4,4
Turkey,5,5
Alexander,1,1
Bavykin,2,2
Russia,5,5
Moscow,5,5
Turkey,5,5
Syria,5,5
PKK,3,3
Kurdish,7,7
Turkey,5,5
U.S.,3,3
Municipal,4,4
Desk,4,4
Hapoel,3,3
Beit,4,4
She'an,4,4
Hapoel,3,3
Beersheba,4,4
Real,3,3
Madrid,4,4
Balkan,7,5
Davor,1,1
Suker,2,2
Predrag,1,1
Mijatovic,2,2
Barcelona,3,3
Spain,5,5
French,7,7
Ireland,5,5
Michigan,5,5
Stephenville,5,5
Newfoundland,5,5
Mexico,5,5
Aninat,1,1
Canada,5,5
Svetlana,1,1
Gladishiva,2,2
New,5,5
Mexico,6,6
Santa,5,3
Fe,6,4
Newmont,3,3
PSV,3,3
Eindhoven,4,4
Ipswich,5,3
Wolverhampton,5,3
VANCOUVER,5,3
World,7,7
Cup,8,8
TORONTO,5,3
LONDON,5,5
Bundesbank,3,3
NEW,5,5
YORK,6,6
Florence,1,5
Masnada,2,1
France,5,5
Bayern,3,3
Munich,4,4
