token,pred,true
yen,5,0
of,5,0
"""",3,0
Matsushita,0,1
Nihon,3,3
Keizai,4,4
Shimbun,0,4
Blackpool,5,3
Hednesford,5,3
1,2,0
Wheat,7,0
Ulker,3,3
Spor,8,4
Turkey,5,5
He,1,0
"""",1,0
my,7,0
(,3,0
party,8,0
Alexander,1,1
Bavykin,2,2
Russia,5,5
Moscow,5,5
policy,7,0
in,7,0
Turkey,5,5
Syria,5,5
PKK,7,3
Kurdish,7,7
in,5,0
Turkey,5,5
U.S.,5,3
Municipal,4,4
Desk,4,4
Hapoel,3,3
Beit,6,4
She'an,6,4
Hapoel,3,3
Beersheba,6,4
Real,3,3
Madrid,6,4
Balkan,7,5
Davor,1,1
Suker,2,2
Predrag,1,1
Mijatovic,2,2
Barcelona,3,3
Spain,5,5
French,7,7
foreign,7,0
"""",1,0
executive,1,0
jet,8,0
Ireland,5,5
Michigan,5,5
Stephenville,5,5
Newfoundland,5,5
January,5,0
with,5,0
Mexico,0,5
Aninat,0,1
Canada,0,5
Svetlana,1,1
Gladishiva,2,2
I,1,0
A,5,0
New,6,5
Mexico,6,6
referee,1,0
Standings,7,0
Santa,5,3
Fe,6,4
from,3,0
Newmont,0,3
PSV,7,3
Eindhoven,6,4
Ipswich,5,3
Wolverhampton,5,3
VANCOUVER,5,3
World,7,7
Cup,8,8
downhill,8,0
race,8,0
TORONTO,5,3
LONDON,5,5
1996-12-06,8,0
Bundesbank,3,3
"15,232",7,0
NEW,7,5
YORK,6,6
1996-12-07,7,0
Florence,1,5
Masnada,2,1
France,5,5
Bayern,3,3
Munich,6,4
Mafikeng,5,5
NEW,7,5
YORK,6,6
1996-12-06,7,0
Southend,5,3
The,5,0
West,6,5
Indies,6,6
Tom,1,1
Moody,2,2
to,1,0
Shane,2,1
Warne,0,2
Northern,5,5
Ireland,6,6
December,7,0
Russia,5,5
anniversary,7,0
Yeltsin,1,1
Kremlin,5,5
Salomon,1,3
bond,7,0
index,8,0
government,3,0
bonds,8,0
China,5,5
Guilin,5,5
Guangxi,5,5
the,3,0
Xinhua,0,3
Phoenix,5,3
ST,0,3
LOUIS,5,4
Gulf,0,5
of,0,6
Mexico,5,6
Toledo,5,5
Poland,5,5
Aleksander,1,1
Kwasniewski,2,2
Polish-born,7,0
Pope,2,0
John,2,1
Paul,2,2
Vatican,5,5
Warsaw,0,5
Florence,1,1
Masnada,2,2
France,5,5
Napoli,5,3
),5,0
Verona,0,3
Thai,5,7
Commerce,4,3
Ministry,4,4
Thai,5,7
Learjet,3,7
36,8,8
",",5,0
manager,1,0
David,2,1
Snow,0,2
He,1,0
medical,7,0
attention,8,0
Denmark,5,5
Radiometer,3,0
H1,8,0
Electronic,3,3
Data,4,4
Systems,4,4
project,7,0
Private,3,0
Finance,4,0
B.,0,1
Lara,1,2
Warne,1,1
Moody,1,1
MILWAUKEE,5,3
WASHINGTON,5,5
He,1,0
U.N.,3,3
social,8,0
development,8,0
conference,8,0
Copenhagen,5,5
U.N.,3,3
development,8,0
programme,8,0
Inge,1,1
Kaul,2,2
Korneilus,1,1
Hole,2,2
Norway,5,5
ST,5,3
LOUIS,6,4
Premier,7,7
league,8,8
Extremadura,5,3
"25,000,000",7,0
Division,7,0
One,8,0
St,5,5
Louis,6,6
COLORADO,5,5
Hapoel,3,3
Petah,4,4
Tikva,4,4
Marianne,1,1
Timmer,2,2
Netherlands,5,5
Patrizia,1,1
Bassis,2,2
Italy,5,5
China,5,5
newcomers,5,0
Uzbekistan,0,5
Martina,1,1
Ertl,2,2
Germany,5,5
SOCCER,7,0
SPANISH,5,7
blast,7,0
Woman,1,0
N.,1,5
Ireland,6,6
arms,7,0
Bradford,5,3
kroons,7,0
November,5,0
0-1,7,0
C.,7,1
Hooper,2,2
Espanyol,3,3
He,1,0
Bre-X,3,3
Indonesian,5,7
government,4,0
Busang,7,5
Radio,7,3
Romania,6,4
Havel,1,1
Monday,5,0
tumour,7,0
his,1,0
LA,5,3
CLIPPERS,4,4
NAC,7,3
Breda,6,4
PORTLAND,5,3
An,5,0
Australian,8,7
hitman,1,0
man,1,0
Basis,7,0
Delivered,8,0
NY,5,3
RANGERS,4,4
Sun,1,1
Jun,2,2
China,5,5
Rashid,1,1
Sidek,2,2
Malaysia,5,5
"""",1,0
said,2,0
Christopher,0,1
Granville,0,2
economist,3,0
at,6,0
United,3,3
City,0,4
Bank,5,4
Moscow,0,5
They,1,0
they,1,0
AMARILLO,5,5
1996-12-06,8,0
CENTRAL,3,0
DIVISION,4,0
brother,1,0
state,1,0
Moustapha,1,1
Niasse,2,2
Shwe,7,5
Dagon,8,6
pagoda,8,0
Rangoon,5,5
he,1,0
he,1,0
order,7,0
the,7,0
the,5,0
Kinshasa,7,5
Zairean,0,7
much,5,0
Zaire,0,5
he,1,0
GLASGOW,5,5
1996-12-07,8,0
SEATTLE,5,3
CANBERRA,5,5
1996-12-06,8,0
terrorism,7,0
I,1,0
my,1,0
",",1,0
he,3,0
TASR,0,3
WASHINGTON,5,3
"""",7,0
opposition,6,0
foreign,6,0
affairs,1,0
spokesman,2,0
Laurie,0,1
Brereton,0,2
AC,7,3
Milan,6,4
9,5,0
Udinese,3,3
Hilde,1,1
Gerg,2,2
Germany,5,5
RTRS,3,3
Australian,5,7
MP,2,0
John,2,1
Langmore,2,2
Katja,1,1
Seizinger,2,2
Germany,5,5
Russ,1,3
Berrie,2,4
July,5,0
Thursday,5,0
",",3,0
USDA,0,3
TAMPA,5,3
BAY,6,4
VAIL,5,5
Colorado,5,5
DETROIT,5,3
Mr,1,1
Yen,2,2
Sakakibara,1,1
currency,7,0
was,3,0
BOJ,0,3
governor,1,0
Matsushita,0,1
Rosati,1,1
treaty,5,0
Warsaw,0,5
the,3,0
Vatican,0,5
Supple,0,1
said,1,0
Singapore,5,5
Global,3,0
Depository,4,0
Receipt,7,0
NAIROBI,5,5
1996-12-06,8,0
Rafael,1,1
Alkorta,2,2
Albert,1,1
Real,7,3
Sociedad,4,4
NY,5,3
RANGERS,4,4
TORONTO,5,5
MADRID,5,5
1996-12-06,8,0
Pakistan,5,5
Madlen,1,1
Brigger-Summermatter,2,2
Switzerland,5,5
Reinhard,1,1
Schwarzenberger,2,2
Austria,5,5
LONDON,5,5
1996-12-06,8,0
STEPHENVILLE,5,5
Newfoundland,5,5
I.,0,1
Healy,1,2
P.,1,1
Reiffel,2,2
S.,1,1
Warne,0,2
",",1,0
J.,2,1
Gillespie,0,2
ATLANTIC,5,5
DIVISION,8,0
Hibernian,3,3
Barnet,5,3
Wycombe,5,3
NEW,7,3
ORLEANS,6,4
Fortuna,3,3
Dusseldorf,6,4
Standings,7,0
men,1,0
EuroLeague,7,7
Charlton,1,1
Ireland,5,5
they,1,0
until,1,0
December,7,0
Group,3,0
C,8,0
LONDON,5,5
1996-12-07,8,0
SOCCER,7,0
BALKAN,5,5
STRIKE,8,0
FIRM,3,0
GAME,8,0
REAL,7,3
government,3,0
original,7,0
inquiry,8,0
May,5,0
SOCCER,7,0
NORTHERN,5,5
IRELAND,6,6
PREMIER,7,0
DIVISION,8,0
/,7,0
Saqr,1,1
Lahd,1,1
Israeli,5,7
enemy,8,0
to,5,0
Israel,0,5
against,5,0
Lebanon,0,5
Celta,3,3
Vigo,6,4
heroin,7,0
Belgian,7,7
city,5,0
Antwerp,0,3
NEW,7,5
YORK,6,6
1996-12-06,7,0
Reuter,3,3
Radiometer,3,3
19996/97,7,0
Wednesday,5,3
W,7,0
L,8,0
T,8,0
GF,8,0
GA,8,0
PTS,8,0
fidelity,7,0
beers,7,0
Czech,5,5
beers,8,0
"""",1,0
President,1,0
Nelson,2,1
Mandela,2,2
African,3,3
National,4,4
Congress,4,4
ANC,0,3
rural,5,0
of,5,0
Izingolweni,0,5
KwaZulu-Natal,0,5
Winters,1,1
Dundee,5,3
United,4,4
Paolo,1,1
Di,2,2
Canio,2,2
Celtic,3,3
Marianne,1,1
Brechu,2,2
France,5,5
NHL,3,3
ICE,8,0
HOCKEY,8,0
-,3,0
CANUCKS,2,3
BURE,1,1
Canola,7,0
firms,3,0
west,5,0
Japan,6,5
east,5,0
Japan,6,5
he,1,0
Dirty,7,0
GMT,0,7
Boutros-Ghali,1,1
Africans,7,7
he,1,0
slaughter,7,0
steer,8,0
heifer,7,0
sales,8,0
market,7,0
test,8,0
Primoz,1,1
Peterka,2,2
Slovakia,5,5
7.,7,0
Czech,6,3
Republic,6,4
I,0,4
Jiri,1,1
Dzmura,2,2
Pavel,1,1
Polomsky,2,2
71,7,0
Indonesia,5,5
Chile,5,5
Mexico,5,5
",",7,0
Finance,0,3
Eduardo,1,1
Aninat,2,2
Women,7,0
