token,pred,true
Sebastian,1,1
Lindholm,2,2
Finland,5,5
Ford,3,7
Escort,8,8
-,1,0
Chris,2,1
Walker,0,2
England,5,5
Amr,1,1
Shabana,2,2
Egypt,5,5
OB,0,3
Lotte,3,3
Meluawati,1,1
Indonesia,5,5
Chan,1,1
Chia,2,2
Fong,2,2
Malaysia,1,5
),6,0
Social-Democratic,7,0
Socialist,7,0
Zeri,8,3
i,8,4
Popullit,0,4
Cozma,1,1
Lupu,1,1
Reuters,3,3
Manila,5,5
MOSCOW,5,5
1996-08-26,8,0
roubles,7,0
FFK,7,3
GENOA,5,5
Italy,5,5
Huddersfield,5,3
3,3,0
3,4,0
3,4,0
Steptoe,3,3
&,0,4
Johnson,3,4
Clarksburg,5,5
West,5,3
Coast,6,4
Somerset,5,3
Oxford,5,3
Norwich,5,3
Terry,1,1
Price,2,2
Australia,5,5
Paul,1,1
Eales,2,2
Wayne,1,1
Tortelli,1,1
Adrian,1,1
Warner,2,2
Bristol,5,5
Gloucestershire,5,3
J.,1,1
Russell,2,2
Northamptonshire,5,3
K.,1,1
Curran,2,2
China,5,5
Britain,5,5
France,5,5
Russia,5,5
United,5,5
States,0,6
Kurt,1,1
Betschart,2,2
Bruno,1,1
Risi,2,2
Switzerland,5,5
AMSTERDAM,5,5
Cash,7,0
Sunday,1,1
Bada,0,2
Nigeria,5,5
ADDIS,5,5
ABABA,6,6
Bombay,5,5
+91-22-265,5,0
9000,6,0
Newcrest,3,3
Telfer,5,5
Boddington,5,5
",",6,0
.,7,0
Danielle,1,1
Murray,2,2
Sandusky,5,5
Ohio,5,5
Atlantic,0,5
Ocean,0,6
.,5,0
SOCCER,7,0
AUSTRIA,5,5
SCOTLAND,5,5
EUROPEAN,7,7
UNDER-21,8,0
Germany,5,5
Russia,5,5
Chechnya,5,5
Minnesota,5,5
Marty,1,1
Cordova,2,2
Matt,1,1
Lawton,2,2
Frankie,1,1
Rodriguez,2,2
as,5,0
the,4,0
Minnesota,0,3
Twins,0,4
the,5,0
Texas,4,3
Rangers,0,4
said,1,0
Komala,0,1
Brisbane,5,3
CALIFORNIA,5,3
HOUSTON,5,3
Chicago,5,3
banks,3,0
and,4,0
building,4,0
societies,4,0
Dutroux,1,1
Slovakia,5,5
July,7,0
GMT,0,7
EASTERN,7,7
DIVISION,8,8
HCFA,3,3
Administrator,2,0
company,3,0
French,7,7
shipyard,4,0
Belinda,1,1
Goldsmith,2,2
Kindercare,3,0
U.S.,5,5
Bill,1,1
Clinton,2,2
Ballybunion,5,3
Irish,7,7
Patricia,1,1
Vowinkel,2,2
English,7,7
-,5,0
Birmingham,6,3
Barnsley,5,3
Bradford,5,3
ATHENS,5,5
1996-08-28,8,0
said,1,0
Edward,2,1
Smith,0,2
director,3,0
of,4,0
American,0,3
Studies,3,4
American,3,3
University,0,4
Washington,5,5
Albanian,7,7
Albania,7,5
England,5,5
Will,1,1
Carling,2,2
Jeremy,1,1
Guscott,2,2
Rory,1,1
Underwood,2,2
Dean,1,1
Richards,2,2
England,5,5
Germany,5,5
Britain,5,5
Spain,5,5
Paul,1,1
Broadhurst,2,2
Greg,1,1
Turner,2,2
New,5,5
Zealand,6,6
Mike,1,1
Berkshire,3,3
Wood,6,4
Elves,7,4
Portuguese,7,7
Porto,3,3
Setubal,3,3
police,1,0
Major,0,7
League,3,8
BOLSWESSANEN,1,3
Oppenheimer,1,3
Capital,4,4
LP,4,4
October,5,0
Arkansas,5,5
WASHINGTON,5,5
Forfar,5,3
Inverness,5,3
Dutch,7,7
Ajax,3,3
Amsterdam,6,4
Heerenveen,3,3
CHICAGO,5,5
Dawn,1,1
Bowles,2,2
U.S.,5,5
WASHINGTON,5,5
"""",1,0
Garang,0,1
government,3,0
German,3,7
airports,6,0
Essendon,5,3
Bowling,7,0
Malta,5,5
Dollar,7,0
/,8,0
mark,8,0
Aston,3,3
Villa,4,4
Albania,5,5
Olivier,1,1
Panis,2,2
France,5,5
BOMBAY,5,5
1996-08-28,8,0
RUGBY,7,3
UNION,8,4
MULDER,1,1
European,3,3
Union,4,4
Central,5,3
European,6,4
Free,7,4
Trade,8,4
Area,8,4
comprises,5,0
Hungary,0,5
",",5,0
Slovakia,0,5
and,5,0
Czech,0,5
Republic,0,6
BALTIMORE,5,3
California,5,3
his,1,0
Liam,1,1
