token,pred,true
Matsushita,3,1
Blackpool,5,3
Hednesford,5,3
Ulker,1,3
Spor,3,4
Turkey,5,5
Alexander,1,1
Bavykin,2,2
Russia,3,5
Turkey,5,5
Syria,5,5
PKK,3,3
Kurdish,7,7
Turkey,5,5
U.S.,5,3
Municipal,3,4
Desk,3,4
Hapoel,3,3
Beit,4,4
She'an,6,4
Hapoel,3,3
Beersheba,4,4
Madrid,3,4
Balkan,7,5
Davor,1,1
Suker,2,2
Predrag,1,1
Mijatovic,2,2
Barcelona,5,3
Spain,5,5
Ireland,5,5
Michigan,5,5
Stephenville,5,5
Newfoundland,5,5
Aninat,1,1
Canada,5,5
Svetlana,2,1
Mexico,5,6
Fe,5,4
PSV,7,3
Eindhoven,6,4
Ipswich,5,3
Wolverhampton,5,3
VANCOUVER,5,3
World,7,7
Cup,8,8
TORONTO,5,3
LONDON,5,5
Bundesbank,3,3
NEW,7,5
YORK,5,6
Florence,1,5
Masnada,2,1
France,5,5
Bayern,3,3
Munich,4,4
Mafikeng,5,5
NEW,7,5
YORK,5,6
Southend,5,3
West,5,5
Indies,6,6
Tom,1,1
Moody,2,2
Shane,1,1
Warne,2,2
Northern,5,5
Ireland,6,6
Russia,5,5
Yeltsin,1,1
Kremlin,5,5
Salomon,1,3
China,5,5
Guilin,5,5
Guangxi,5,5
Xinhua,4,3
Phoenix,1,3
ST,6,3
LOUIS,6,4
Gulf,5,5
of,6,6
Mexico,6,6
Toledo,5,5
Poland,5,5
Aleksander,1,1
Kwasniewski,2,2
John,1,1
Paul,2,2
Vatican,3,5
Warsaw,5,5
Florence,1,1
Masnada,2,2
France,5,5
Napoli,5,3
Verona,5,3
Thai,5,7
Commerce,3,3
Ministry,4,4
Thai,5,7
Learjet,3,7
36,7,8
David,2,1
Denmark,5,5
Electronic,3,3
Data,3,4
Systems,3,4
Lara,1,2
Moody,1,1
MILWAUKEE,5,3
WASHINGTON,5,5
U.N.,3,3
Copenhagen,5,5
U.N.,3,3
Inge,1,1
Kaul,2,2
Korneilus,1,1
Hole,2,2
Norway,5,5
ST,7,3
LOUIS,6,4
Premier,3,7
league,3,8
Extremadura,5,3
St,5,5
Louis,6,6
COLORADO,5,5
Hapoel,1,3
Petah,2,4
Tikva,2,4
Marianne,1,1
Timmer,2,2
Netherlands,5,5
Patrizia,1,1
Bassis,2,2
Italy,5,5
China,5,5
Martina,1,1
Ertl,2,2
Germany,5,5
SPANISH,5,7
Ireland,5,6
Bradford,1,3
Hooper,1,2
Espanyol,3,3
Bre-X,3,3
Indonesian,5,7
Busang,5,5
Radio,7,3
Romania,5,4
Havel,1,1
LA,5,3
CLIPPERS,3,4
NAC,7,3
Breda,6,4
PORTLAND,5,3
Australian,1,7
NY,5,3
RANGERS,3,4
Jun,1,2
China,5,5
Rashid,1,1
Sidek,2,2
Malaysia,5,5
United,6,3
AMARILLO,5,5
Moustapha,1,1
Niasse,2,2
Shwe,5,5
Dagon,6,6
Rangoon,5,5
Kinshasa,6,5
