token,pred,true
Sebastian,1,1
Lindholm,2,2
Finland,5,5
Ford,3,7
Escort,4,8
Chris,1,1
Walker,2,2
England,5,5
Amr,1,1
Shabana,2,2
Egypt,5,5
OB,0,3
Lotte,3,3
Meluawati,1,1
Indonesia,5,5
Chan,1,1
Chia,2,2
Fong,2,2
Malaysia,5,5
The,3,0
turn,4,0
party,4,0
party,6,0
a,7,0
and,8,0
the,3,0
Socialist,8,0
i,8,4
Popullit,8,4
Cozma,1,1
's,2,0
Lupu,1,1
Reuters,3,3
Manila,5,5
MOSCOW,5,5
1996-08-26,7,0
roubles,8,0
lots,8,0
share,3,0
FFK,0,3
GENOA,5,5
Italy,5,5
1996-08-29,7,0
Huddersfield,5,3
L.O.,3,0
Steptoe,3,3
&,0,4
Johnson,4,4
Clarksburg,5,5
West,0,3
Coast,0,4
Somerset,5,3
Oxford,5,3
Norwich,5,3
Terry,1,1
Price,2,2
Australia,5,5
Paul,1,1
Eales,2,2
Wayne,1,1
Tortelli,1,1
Adrian,1,1
Warner,2,2
Bristol,5,5
Gloucestershire,5,3
J.,1,1
Russell,2,2
Northamptonshire,5,3
K.,1,1
Curran,2,2
China,5,5
Britain,5,5
France,5,5
Russia,5,5
United,5,5
States,6,6
Kurt,1,1
Betschart,2,2
Bruno,1,1
Risi,2,2
Switzerland,5,5
man,1,0
women,1,0
AMSTERDAM,5,5
1996-08-27,7,0
auto,3,0
sector,4,0
construction,3,0
sector,4,0
Sunday,0,1
Bada,1,2
Nigeria,5,5
ADDIS,5,5
ABABA,6,6
Bombay,5,5
newsroom,3,0
+91-22-265,7,0
9000,8,0
Newcrest,3,3
Telfer,5,5
Boddington,5,5
Danielle,1,1
Murray,2,2
Sandusky,5,5
Ohio,5,5
Atlantic,5,5
Ocean,6,6
AUSTRIA,5,5
SCOTLAND,5,5
EUROPEAN,0,7
UNDER-21,7,0
Germany,5,5
Russia,5,5
Chechnya,5,5
Minnesota,5,5
Marty,1,1
Cordova,2,2
and,3,0
Matt,1,1
Lawton,2,2
Frankie,1,1
Rodriguez,2,2
in,5,0
a,6,0
month,5,0
as,6,0
Minnesota,0,3
Twins,0,4
beat,3,0
the,4,0
Texas,0,3
Rangers,0,4
6-5,7,0
.,8,0
spokesman,1,0
boy,1,0
Komala,1,1
Brisbane,5,3
CALIFORNIA,5,3
Saturday,8,0
HOUSTON,5,3
Chicago,5,3
banks,3,0
building,3,0
societies,4,0
Dutroux,1,1
Slovakia,5,5
July,7,0
GMT,7,7
EASTERN,3,7
DIVISION,4,8
place,5,0
HCFA,3,3
Administrator,1,0
company,3,0
French,5,7
Belinda,1,1
Goldsmith,2,2
Kindercare,3,0
Q1,7,0
results,8,0
U.S.,5,5
Bill,1,1
Clinton,2,2
Ballybunion,5,3
Irish,0,7
Patricia,1,1
Vowinkel,2,2
English,0,7
Birmingham,5,3
Barnsley,5,3
Bradford,5,3
ATHENS,5,5
1996-08-28,7,0
war,1,0
",",2,0
Edward,0,1
Smith,0,2
American,0,3
Studies,0,4
American,0,3
University,0,4
Washington,0,5
Albanian,5,7
Albania,5,5
Former,1,0
England,2,5
captain,3,0
Will,4,1
Carling,5,2
along,6,0
with,7,0
Jeremy,8,1
Germany,5,5
Britain,5,5
Spain,5,5
Paul,1,1
Broadhurst,2,2
Greg,1,1
Turner,2,2
New,5,5
Zealand,6,6
Mike,1,1
Berkshire,5,3
Wood,6,4
Elves,7,4
police,7,0
Portuguese,0,7
champions,3,0
Porto,5,3
season,3,0
Setubal,0,3
to,5,0
Saturday,5,0
police,1,0
Major,3,7
League,4,8
BOLSWESSANEN,1,3
Oppenheimer,3,3
Capital,4,4
LP,4,4
Thursday,8,0
October,7,0
Arkansas,5,5
south,5,0
WASHINGTON,5,5
Forfar,5,3
Inverness,5,3
Dutch,0,7
Ajax,3,3
Amsterdam,5,4
Saturday,7,0
Heerenveen,3,3
CHICAGO,5,5
1996-08-29,7,0
Dawn,1,1
Bowles,2,2
U.S.,5,5
WASHINGTON,5,5
Garang,1,1
government,3,0
German,0,7
airports,5,0
January-July,7,0
1996,7,0
he,1,0
prison,5,0
thief,1,0
Essendon,3,3
2130,7,0
1947,7,0
Malta,5,5
Aston,3,3
Villa,4,4
Albania,5,5
in,5,0
and,5,0
Olivier,1,1
Panis,2,2
France,5,5
BOMBAY,5,5
1996-08-28,7,0
RUGBY,3,3
UNION,4,4
MULDER,1,1
association,3,0
agreement,4,0
European,3,3
Union,4,4
Central,7,3
European,8,4
Free,8,4
Trade,8,4
Area,8,4
also,5,0
Hungary,5,5
Slovakia,5,5
and,6,0
Czech,0,5
Republic,0,6
BALTIMORE,5,3
California,5,3
Liam,1,1
Noel,1,1
CBOE,3,3
MFS,3,3
Promodes,3,3
German,7,7
Palestinians,1,7
Jerusalem,5,5
