token,pred,true
Sebastian,1,1
Lindholm,2,2
Finland,5,5
Ford,3,7
Escort,8,8
Chris,1,1
Walker,2,2
England,5,5
Amr,1,1
Shabana,2,2
Egypt,5,5
OB,7,3
Lotte,3,3
Meluawati,1,1
Indonesia,5,5
Chan,1,1
Chia,2,2
Fong,2,2
Malaysia,0,5
),5,0
congress,3,0
that,3,0
a,3,0
not,3,0
class,7,0
one,3,0
Socialist,7,0
Zeri,0,3
i,3,4
Popullit,0,4
Cozma,1,1
I,1,0
Lupu,1,1
Reuters,3,3
Manila,5,5
MOSCOW,5,5
1996-08-26,8,0
"2,746",7,0
share,7,0
between,7,0
"2,998",7,0
a,7,0
",",3,0
FFK,0,3
GENOA,5,5
Italy,5,5
1996-08-29,8,0
Huddersfield,5,3
3,3,0
3,4,0
3,4,0
Steptoe,1,3
&,0,4
Johnson,1,4
Clarksburg,5,5
West,7,3
Coast,8,4
21,8,0
15,8,0
0,8,0
6,8,0
2151,8,0
1673,8,0
128.6,8,0
60,8,0
speaker,1,0
Somerset,5,3
Oxford,5,3
0,8,0
Norwich,5,3
1,8,0
Terry,1,1
Price,2,2
Australia,5,5
Paul,1,1
Eales,2,2
Wayne,1,1
Tortelli,1,1
Adrian,1,1
Warner,2,2
Bristol,5,5
Gloucestershire,5,3
183,8,0
J.,1,1
Russell,2,2
50,7,0
Northamptonshire,5,3
123-4,8,0
K.,1,1
Curran,2,2
China,5,5
Britain,5,5
France,5,5
Russia,5,5
United,0,5
States,5,6
Kurt,1,1
Betschart,2,2
Bruno,1,1
Risi,2,2
Switzerland,5,5
sought,1,0
AMSTERDAM,5,5
5.5,7,0
percent,8,0
tonnes,7,0
2.4,7,0
percent,8,0
"79,390",7,0
tonnes,8,0
6.,7,0
Sunday,0,1
Bada,0,2
Nigeria,5,5
45.21,7,0
ADDIS,5,5
ABABA,6,6
Bombay,5,5
newsroom,4,0
+91-22-265,7,0
Newcrest,3,3
Telfer,5,5
Boddington,5,5
mines,6,0
the,5,0
Danielle,1,1
Murray,2,2
Sandusky,5,5
Ohio,5,5
received,1,0
side,5,0
Atlantic,0,5
Ocean,0,6
SOCCER,7,0
AUSTRIA,5,5
SCOTLAND,5,5
EUROPEAN,7,7
UNDER-21,8,0
MATCH,8,0
Germany,5,5
loudest,3,0
critics,6,0
Russia,0,5
military,5,0
in,7,0
Chechnya,0,5
20-month-old,1,0
Minnesota,5,5
Marty,1,1
Cordova,2,2
Matt,1,1
Lawton,2,2
Frankie,1,1
Rodriguez,2,2
to,3,0
a,5,0
month,4,0
Minnesota,0,3
Twins,0,4
Texas,0,3
Rangers,5,4
6-5,4,0
police,3,0
spokesman,2,0
boy,1,0
said,1,0
Komala,0,1
Brisbane,5,3
CALIFORNIA,5,3
Saturday,5,0
HOUSTON,5,3
Chicago,5,3
Mortgage,7,0
rates,7,0
banks,3,0
of,7,0
Dutroux,1,1
Slovakia,5,5
July,7,0
2001,7,0
"685,000",8,0
18:00,7,0
GMT,8,7
EASTERN,5,7
DIVISION,4,8
they,1,0
HCFA,3,3
Administrator,8,0
to,3,0
's,1,0
community,2,0
French,7,7
shipyard,6,0
march,7,0
Belinda,1,1
Goldsmith,2,2
Kindercare,3,0
Q1,7,0
results,4,0
U.S.,5,5
President,2,0
Bill,2,1
Clinton,2,2
Ballybunion,5,3
Irish,0,7
Patricia,1,1
Vowinkel,2,2
English,0,7
Birmingham,5,3
Barnsley,5,3
Bradford,5,3
ATHENS,5,5
1996-08-28,8,0
Edward,1,1
Smith,2,2
of,3,0
American,4,3
Studies,0,4
at,3,0
American,4,3
University,0,4
in,5,0
Washington,0,5
Albanian,7,7
moderates,2,0
hardliners,1,0
neighbouring,5,0
Albania,6,5
20.036,7,0
20.112,8,0
England,5,5
Will,1,1
Carling,2,2
Jeremy,1,1
Guscott,2,2
Rory,1,1
Underwood,2,2
Dean,1,1
Richards,2,2
England,5,5
squad,3,0
Germany,5,5
Britain,5,5
Spain,5,5
Paul,1,1
Broadhurst,2,2
Greg,1,1
Turner,2,2
New,5,5
Zealand,6,6
Mike,1,1
Berkshire,5,3
Wood,6,4
Elves,3,4
investigation,3,0
Gas,7,0
oil,8,0
"1,600",8,0
"1,650",8,0
"1,850-1,900",8,0
Portuguese,0,7
Porto,3,3
Setubal,3,3
Saturday,7,0
